epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.0562,0.28334,0.89186,1,0.39858,0.000414747,0.000414747,0.000414747
2,38.5847,0.14009,0.89059,1,0.45206,0.000814951,0.000814951,0.000814951
3,55.2023,0.16257,0.90967,1,0.30326,0.00119866,0.00119866,0.00119866
4,71.7021,0.16205,0.90585,1,0.28888,0.00117575,0.00117575,0.00117575
5,88.4293,0.13591,0.8944,1,0.3186,0.001151,0.001151,0.001151
6,108.944,0.12252,0.91221,1,0.28321,0.00112625,0.00112625,0.00112625
7,127.989,0.10735,0.91858,1,0.2104,0.0011015,0.0011015,0.0011015
8,145.274,0.10355,0.92748,1,0.22398,0.00107675,0.00107675,0.00107675
9,164.107,0.08875,0.91858,1,0.24979,0.001052,0.001052,0.001052
10,181.566,0.08469,0.88422,1,0.32669,0.00102725,0.00102725,0.00102725
11,198.431,0.0885,0.93003,1,0.21412,0.0010025,0.0010025,0.0010025
12,215.605,0.08758,0.93257,1,0.21864,0.00097775,0.00097775,0.00097775
13,232.322,0.07595,0.92366,1,0.21756,0.000953,0.000953,0.000953
14,248.659,0.08334,0.92239,1,0.21227,0.00092825,0.00092825,0.00092825
15,265.333,0.07202,0.91985,1,0.23434,0.0009035,0.0009035,0.0009035
16,281.943,0.06452,0.92875,1,0.24026,0.00087875,0.00087875,0.00087875
17,298.993,0.06521,0.93257,1,0.21835,0.000854,0.000854,0.000854
18,316.984,0.05244,0.93384,1,0.32077,0.00082925,0.00082925,0.00082925
19,334.303,0.06301,0.92621,1,0.26684,0.0008045,0.0008045,0.0008045
20,352.965,0.05265,0.93384,1,0.22258,0.00077975,0.00077975,0.00077975
21,371.121,0.05382,0.92366,1,0.30077,0.000755,0.000755,0.000755
22,390.641,0.04943,0.92112,1,0.29715,0.00073025,0.00073025,0.00073025
23,412.169,0.04555,0.91985,1,0.28985,0.0007055,0.0007055,0.0007055
24,431.313,0.03956,0.9313,1,0.30767,0.00068075,0.00068075,0.00068075
25,448.843,0.04512,0.93511,1,0.27046,0.000656,0.000656,0.000656
26,466.343,0.04345,0.92621,1,0.26917,0.00063125,0.00063125,0.00063125
27,484.162,0.03701,0.92748,1,0.29104,0.0006065,0.0006065,0.0006065
28,501.943,0.04178,0.92748,1,0.36986,0.00058175,0.00058175,0.00058175
29,518.964,0.03655,0.93893,1,0.2738,0.000557,0.000557,0.000557
30,535.959,0.03074,0.94275,1,0.27624,0.00053225,0.00053225,0.00053225
31,552.856,0.03332,0.93766,1,0.24112,0.0005075,0.0005075,0.0005075
32,569.951,0.02252,0.93257,1,0.34137,0.00048275,0.00048275,0.00048275
33,586.903,0.03278,0.93511,1,0.2954,0.000458,0.000458,0.000458
34,604.247,0.02557,0.93639,1,0.3321,0.00043325,0.00043325,0.00043325
35,621.202,0.0261,0.93257,1,0.34833,0.0004085,0.0004085,0.0004085
36,638.263,0.02255,0.93893,1,0.34753,0.00038375,0.00038375,0.00038375
37,655.007,0.02835,0.93893,1,0.34946,0.000359,0.000359,0.000359
38,671.469,0.02001,0.93639,1,0.3064,0.00033425,0.00033425,0.00033425
39,690.132,0.02035,0.93384,1,0.33569,0.0003095,0.0003095,0.0003095
40,710.078,0.01842,0.94275,1,0.27535,0.00028475,0.00028475,0.00028475
